date,adm_level,adm_id,state,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
01/04/2024,1,1891,Johor,622,54.438908,63.43151,89.202576,189.01865,465.8617,536.08954,86.85898,48.553364,87.02103,final
11/04/2024,1,1891,Johor,622,153.48071,63.119667,235.86174,198.08478,469.4421,516.36566,232.65045,118.60157,90.99988,final
21/04/2024,1,1891,Johor,622,49.329582,74.879364,257.2492,201.43054,433.11578,497.91168,68.01454,127.039925,87.115845,final
01/05/2024,1,1891,Johor,622,93.665596,65.522934,296.4759,203.52197,502.5,515.5191,139.90569,144.57751,97.498825,final
11/05/2024,1,1891,Johor,622,73.840836,60.239174,216.83601,200.64148,560.46625,538.0398,120.848915,107.87513,104.12981,final
21/05/2024,1,1891,Johor,622,93.2074,64.674065,260.71384,190.43617,646.27167,571.43085,140.95259,135.9594,112.98349,final
01/06/2024,1,1891,Johor,622,51.866558,56.38703,218.9148,181.30026,604.59326,573.8409,92.63611,120.19028,105.31275,final
11/06/2024,1,1891,Johor,622,61.18971,46.796677,206.26367,167.85777,658.9614,566.58405,127.78757,122.2182,116.161644,final
21/06/2024,1,1891,Johor,622,80.2926,45.842712,193.34888,149.02643,711.3119,540.8931,167.75777,128.77586,131.21834,final
01/07/2024,1,1891,Johor,622,43.62058,60.187515,185.10289,152.8269,700.4936,537.6492,74.585724,120.45025,130.00916,final
11/07/2024,1,1891,Johor,622,33.163986,50.75343,157.07716,156.78366,580.1768,525.2829,68.45137,100.18141,110.351814,final
21/07/2024,1,1891,Johor,622,16.61897,56.407825,93.403534,167.34877,547.4662,506.81137,35.205563,57.09558,107.94332,final
01/08/2024,1,1891,Johor,622,58.67524,55.511578,108.4582,162.67284,512.4758,496.8,105.228195,67.66642,103.123924,final
11/08/2024,1,1891,Johor,622,91.191315,56.71688,166.48553,168.63628,529.8263,493.2777,155.85901,98.76135,107.334984,final
21/08/2024,1,1891,Johor,622,70.90675,68.89212,220.7733,181.12057,507.5257,497.4958,102.72645,121.304855,101.99602,final
